Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Mohan D., Nair L.R.","57314344900;57315177700;","Probit regressive tversky indexed rocchio convolutive deep neural learning for legal document data analytics",2021,"International Journal of Intelligent Systems and Applications in Engineering","9","3",,"109","115",,,"10.18201/IJISAE.2021.238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118113372&doi=10.18201%2fIJISAE.2021.238&partnerID=40&md5=71466fdca25f9a5dea8e237f60fcfd38","CUSAT, Cochi, India","Mohan, D., CUSAT, Cochi, India; Nair, L.R., CUSAT, Cochi, India","Legal documents data analytics is a very significant process in the field of computational law. Semantically analyzing the documents is more challenging since it’s often more complicated than open domain documents. Efficient document analysis is crucial to current legal applications, such as case-based reasoning, legal citations, and so on. Due to the extensive growth of documents of data, several statistical machine-learning methods have been developed for Legal documents data analytics. However, documents are large and highly complex, so the traditional machine learning-based classification models are inefficient for accurate data analytics with minimum time. In order to improve the accurate legal documents data analytics with minimum time, an efficient technique called Probit Regressive Tversky Indexed Rocchio Convolutive Deep Neural Learning (PRTIRCDNL) is introduced. The PRTIRCDNL technique uses the Convolutive Deep neural learning concept to learn the given input with help of many layers and provides accurate classification results. Convolutive Deep Neural Learning uses two different processing steps such as keyword extraction and classification in the different layers such as input, two hidden layers and output layer. Initially, large numbers of legal documents are collected from the dataset. Then the collected legal documents are sent to the input layer of the convolutive deep neural learning. The input legal documents are transferred into the first hidden layer where the keyword extraction process is carried out by applying the Target projective probit Regression. Then the regression function extracts the keywords based on frequent occurrence score. Then the extracted keywords are transferred into the second hidden layer where the document classification is performed using the Tversky similarity indexive Rocchio classifier. Likewise, all the legal documents are classified into different classes. The experimental evaluation is carried out using different performance metrics such as accuracy, precision, recall, F-measure and computational time with respect to the number of legal documents collected from the dataset. The observed results confirmed that the presented PRTIRCDNL technique provides the better performance in terms of achieving higher accuracy, precision, recall and F-measure with minimum computation time. © 2021, Ismail Saritas. All rights reserved.","Convolutive Deep Neural Learning; Legal Document Data Analytics; Target projective probit Regression; Tversky similarity indexive Rocchio classifier",,"Mohan, D.; CUSATIndia; email: divyamohancusat@yahoo.com",,"Ismail Saritas",21476799,,,,"English","Internat. J. Intel. Syst. Appl. Eng.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85118113372
"Zheng H., Grossi D., Verheij B.","57205345466;8960963900;6602409964;","Precedent comparison in the precedent model formalism: Theory and application to legal cases",2021,"CEUR Workshop Proceedings","2891",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109214494&partnerID=40&md5=fa88b9c335ecbb79276b82e5b52c258d","Bernoulli Institute, University of Groningen, Netherlands; ILLC, ACLE, University of Amsterdam, Netherlands","Zheng, H., Bernoulli Institute, University of Groningen, Netherlands; Grossi, D., Bernoulli Institute, University of Groningen, Netherlands, ILLC, ACLE, University of Amsterdam, Netherlands; Verheij, B., Bernoulli Institute, University of Groningen, Netherlands","Comparison between precedents and case facts is a core issue in case-based reasoning, which has been discussed in a lot of research. In this paper, we use a recently developed precedent model formalism to discuss precedent comparison in case-based reasoning. With this formalism and a case study in a real legal domain, we show a new generalization and a new refinement of precedent comparison with respect to case-based reasoning approaches based on factors, such as HYPO and CATO. 1) Generalization: precedents and case facts can now be compared with general propositional formulas, and not only with factors. 2) Refinement: a distinction can be made between current analogies and distinctions in precedent models, and so-called relevances, i.e., unshared formulas between two precedents that are relevant for possible additional analogies and distinctions that can arise in a discussion. With these contributions the role of factors in case-based reasoning can be refined and compound formulas based on factors can be taken into account in case-based reasoning. © 2020 for this paper by its authors.","Case-based reasoning; Precedent comparison; Precedents","Case-based reasoning approaches; Legal case; Legal domains; Modeling formalisms; Propositional formulas; Case based reasoning","Zheng, H.; University of Groningen, Nijenborgh 9, Netherlands; email: h.zheng@rug.nl","Nalepa G.J.Nalepa G.J.Araszkiewicz M.Atzmueller M.Verheij B.Bobek S.Bobek S.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85109214494
"Oconitrillo L.R.R., Vargas J.J., Camacho A., Burgos A., Corchado J.M.","57194651985;25825903800;7103095969;57222633209;7006360842;","RYEL System: A Novel Method for Capturing and Represent Knowledge in a Legal Domain Using Explainable Artificial Intelligence (XAI) and Granular Computing (GrC)",2021,"Studies in Computational Intelligence","937",,,"369","399",,,"10.1007/978-3-030-64949-4_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103551223&doi=10.1007%2f978-3-030-64949-4_12&partnerID=40&md5=1ca2599bde42c34db6fa12bb14a92b1c","Universidad de Costa Rica, San José, Costa Rica; Universidad de Salamanca, Bisite Research Group, Salamanca, Spain; Air Institute, IoT Digital Innovation Hub, Salamanca, Spain; Department of Electronics, Information and Communication, Faculty of Engineering, Osaka Institute of Technology, Osaka, Japan; Pusat Komputeran dan Informatik, Universiti Malaysia Kelantan, Kelantan, Malaysia","Oconitrillo, L.R.R., Universidad de Costa Rica, San José, Costa Rica; Vargas, J.J., Universidad de Costa Rica, San José, Costa Rica; Camacho, A., Universidad de Costa Rica, San José, Costa Rica; Burgos, A., Universidad de Costa Rica, San José, Costa Rica; Corchado, J.M., Universidad de Salamanca, Bisite Research Group, Salamanca, Spain, Air Institute, IoT Digital Innovation Hub, Salamanca, Spain, Department of Electronics, Information and Communication, Faculty of Engineering, Osaka Institute of Technology, Osaka, Japan, Pusat Komputeran dan Informatik, Universiti Malaysia Kelantan, Kelantan, Malaysia","The need for studies connecting the machine’s explainability with granularity is very important, especially for a detailed understanding of how data is fragmented and processed according to the domain of discourse. We develop a system called RYEL based on subject-matter experts about the legal case process, facts, pieces of evidence, and how to analyze the merits of a case. Through this system, we study the Explainable Artificial Intelligence (XAI) approach using Knowledge Graphs (KG) and enforcement unsupervised algorithms which results are expressed in an Explanatory Graphical Interface (EGI). The evidence and facts of a legal case are represented as knowledge graphs. Granular Computing (GrC) techniques are applied in the graph when processing nodes and edges using object types, properties, and relations. Through RYEL we propose new definitions for Explainable Artificial Intelligence (XAI) and Interpretable Artificial Intelligence (IAI) in a much better way and will help us to cover a technological spectrum that has not yet been covered and promises to be a new area of study which we call Interpretation-Assessment/Assessment-Interpretation (IA-AI) that consists not only in explaining machine inferences but the interpretation and assessment from a user according to a context. It is proposed a new focus-centered organization in which the XAI-IAI will be able to work and will allow us to explain in more detail the method implemented by RYEL. We believe our system has an explanatory and interpretive nature and could be used in other domains of discourse, some examples are: (1) the interpretation a doctor has about a disease and the assessment of using certain medicine, (2) the interpretation a psychologist has from a patient and the assessment for a psychological application treatment, (3) or how a mathematician interprets a real-world problem and makes an assessment about which mathematical formula to use. However, now we focus on the legal domain. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Case-Based Reasoning (CBR); Explainable Artificial Intelligence (XAI); Explainable legal knowledge representation; Explanatory Graphical Interface (EGI); Granular Computing (GrC); Interpretation-Assessment/Assessment-Interpretation (IA-AI); RYEL",,"Oconitrillo, L.R.R.; Universidad de Costa RicaCosta Rica; email: luis.rodriguezoconitrillo@ucr.ac.cr",,"Springer Science and Business Media Deutschland GmbH",1860949X,,,,"English","Stud. Comput. Intell.",Book Chapter,"Final","",Scopus,2-s2.0-85103551223
[No author name available],[No author id available],"5th International Conference on Advanced Machine Learning Technologies and Applications, AMLTA 2020",2021,"Advances in Intelligent Systems and Computing","1141",,,"","",754,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087015117&partnerID=40&md5=61348ce5e59bea5d2667f14a46af8409",,"","The proceedings contain 67 papers. The special focus in this conference is on Advanced Machine Learning Technologies and Applications. The topics include: Lightweight access control algorithm for internet of things; named-entity recognition for legal documents; visual speech processing and recognition; predictive analytics for cardiovascular disease diagnosis using machine learning techniques; a novel approach for smart-healthcare recommender system; heart disorder prognosis employing knn, ann, id3 and svm; iot-based home security system with wireless communication; implementing internet of things in small businesses of bahrain; the adopting knowledge management proves vital for bahrain’s governmental sector; a comparative study of model-free reinforcement learning approaches; location-aware security system for smart cities using iot; an assessment study of gait biometric recognition using machine learning; a study on risk management practices in online banking in bahrain; deep learning techniques: an overview; a multilayer deep learning framework for auto-content tagging; case-based reasoning (cbr)-based anemia severity detection system (asds) using machine learning algorithm; ecg signal analysis, diagnosis and transmission; the effect of real-time feedback on consumer’s behavior in the energy management sector: empirical study; synchronization control in fractional discrete-time systems with chaotic hidden attractors; video surveillance for the crime detection using features; employment of cryptographic modus operandi based on trigonometric algorithm and resistor color code; experimental and dimensional analysis approach for human energy required in wood chipping process; impact of high-k gate dielectric and work functions variation on electrical characteristics of vesfet; correlating personality traits to different aspects of facebook usage; fractional-order control of a fuel cell–boost converter system.",,,,"Hassanien A.E.Bhatnagar R.Darwish A.","Springer",21945357,9789811533822,,,"English","Adv. Intell. Sys. Comput.",Conference Review,"Final","",Scopus,2-s2.0-85087015117
"Araszkiewicz M.","36682023500;","The frame of privacy",2020,"Jusletter IT",,"September",,"443","450",,,"10.38023/d6f009d7-f3a9-4942-9437-e5fb7fafbe63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111553881&doi=10.38023%2fd6f009d7-f3a9-4942-9437-e5fb7fafbe63&partnerID=40&md5=a651f64b267cb7be711d59c7e2069628","Jagiellonian University in Krakow, Faculty of Law and Administration, Department of Legal Theory, Bracka 12, Kraków, 31-005, Poland","Araszkiewicz, M., Jagiellonian University in Krakow, Faculty of Law and Administration, Department of Legal Theory, Bracka 12, Kraków, 31-005, Poland","The issues concerning protection of privacy are one of the most pressing challenges of the contemporary legal cultures. Privacy remains one of the most elusive concepts used in legal discourse. Apparently it is not possible to define what privacy is, but it is reasonable to indicate situations which are rationally classified as privacy-relevant. In this paper we refine this view by introducing the notion of the frame - a complex knowledge representation structure that integrates the issues of relevance and the issues of classification. We discuss how this proposal may link the classical knowledge-based representation approach with the more recent, quantitative methods for legal text analysis. This paper is a result of the project (Assessing the Impact of Cases in Selected Legal Domains. Privacy and Data Protection»financed by Narodowa Agencja Wymiany Akademickiej (NAWA) in the frame of the Bekker Program, agreement number PPN/BEK/2018/1/00248/U/00001. © 2020 Editions Weblaw. All rights reserved.","Case-based reasoning; Concepts; Frame; Knowledge representation; Privacy",,"Araszkiewicz, M.; Jagiellonian University in Krakow, Bracka 12, Poland; email: michal.araszkiewicz@uj.edu.pl",,"Editions Weblaw",1664848X,,,,"English","Jusletter IT",Article,"Final","",Scopus,2-s2.0-85111553881
"Arora J., Patankar T., Shah A., Joshi S.","57211640533;57222511743;57216220881;57222504957;","Artificial intelligence as legal research assistant",2020,"CEUR Workshop Proceedings","2826",,,"60","65",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102927457&partnerID=40&md5=210a7de981bd9a616b25fa303573a5d0","Lawnics Technologies, F-4 Raghushree Building, Jaisingh Highway, Bani Park, Jaipur, India","Arora, J., Lawnics Technologies, F-4 Raghushree Building, Jaisingh Highway, Bani Park, Jaipur, India; Patankar, T., Lawnics Technologies, F-4 Raghushree Building, Jaisingh Highway, Bani Park, Jaipur, India; Shah, A., Lawnics Technologies, F-4 Raghushree Building, Jaisingh Highway, Bani Park, Jaipur, India; Joshi, S., Lawnics Technologies, F-4 Raghushree Building, Jaisingh Highway, Bani Park, Jaipur, India","Application of text retrieval and semantic segmentation has a lot of potential in changing the landscape of the legal research industry by making relevant information more accessible and affordable to anyone. In this working paper, we present a description of a few novel methods as a part of Artificial Intelligence for Legal Assistance (2020), an integral event of Forum for Information Retrieval Evaluation-2020. In the first part of the paper, we have identified the relevant prior cases and statutes for the provided query using approaches based on BM 25, Topic embeddings and Law2Vec embeddings. For the second part, we used BERT to semantically segment a legal case document into Seven pre-defined labels or ""rhetorical roles"". In the first task, our performance in P@10 and BPREF metrics positioned us in the top 2 ranking spots. On the other hand, our BERT implementation for the second task got us macro precision of .479, which is just .027 lower than the best performing approach. © 2020 Copyright for this paper by its authors.","Bert; Bm25; Classification; Information retrieval; Law; Nlp; Precedent retrieval; Rhetorical role; Statute retrieval; Topic embeddings; Word embeddings","Embeddings; Fires; Information retrieval; Semantics; Legal case; Legal research; Novel methods; Semantic segmentation; Text retrieval; Working papers; Artificial intelligence",,"Mehta P.Mandl T.Majumder P.Mitra M.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85102927457
"Di Nunzio G.M.","57210368958;","A study on lemma vs stem for legal information retrieval using R tidyverse. IMS UniPD @ AILA 2020 Task 1",2020,"CEUR Workshop Proceedings","2826",,,"54","59",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102924570&partnerID=40&md5=ae000d5485126b4f44ef62c6cb623ec6","Department of Information Engineering, University of Padova, Italy; Department of Mathematics, University of Padova, Italy","Di Nunzio, G.M., Department of Information Engineering, University of Padova, Italy, Department of Mathematics, University of Padova, Italy","In this paper, we describe the results of the participation of the Information Management Systems (IMS) group at AILA 2020 Task 1, precedents and statutes retrieval. In particular, we participated in both subtasks: precedents retrieval (task a) and statutes retrieval (task b). The goal of our work was to compare and evaluate the efficacy of a simple reproducible approach based on the use of either lemmas or stems with a tf-idf vector space model and a plain BM25 model. The results vary significantly from one subtask/evaluation measure to another. For the subtask of statutes retrieval, our approach performed well, being second only to a participant that used BERT to represent documents. © 2020 Copyright for this paper by its authors.","BM25; Legal IR; R Tidyverse; Text Pipelines; TF-IDF","Fires; Information management; Information retrieval; Vector spaces; Information management systems; Legal information retrieval; Subtask; Subtasks; Vector space models; Search engines","Di Nunzio, G.M.; Department of Information Engineering, Italy; email: giorgiomaria.dinunzio@unipd.it","Mehta P.Mandl T.Majumder P.Mitra M.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85102924570
"Dietrich C., Schriml S., Bergmann R., Raue B.","57219973186;57219971906;57193551665;57201976220;","INWEND: Using CBR to automate legal assessment in the context of the EU general data protection regulation",2020,"CEUR Workshop Proceedings","2738",,,"192","201",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096352486&partnerID=40&md5=beb283917c00b2c08f6ef1d0f7595d52","Business Information Systems II, University of Trier, Trier, 54286, Germany; Institut für Recht und Digitalisierung Trier, University of Trier, Trier, 54296, Germany; German Research Center for Artificial Intelligence (DFKI), Branch University of Trier, Behringstraße 21, Trier, 54296, Germany","Dietrich, C., Business Information Systems II, University of Trier, Trier, 54286, Germany; Schriml, S., Institut für Recht und Digitalisierung Trier, University of Trier, Trier, 54296, Germany; Bergmann, R., Business Information Systems II, University of Trier, Trier, 54286, Germany, German Research Center for Artificial Intelligence (DFKI), Branch University of Trier, Behringstraße 21, Trier, 54296, Germany; Raue, B., Institut für Recht und Digitalisierung Trier, University of Trier, Trier, 54296, Germany","The European General Data Protection Regulation (GDPR), which governs the processing of personal data in all EU Member States, contains an exemption for “purely personal or household activities”. Whether this so-called household exemption covers the setup of an online communication forum, particularly on a social media or chat platform, is a question of the individual case. We present a case-based reasoning approach to automatically assessing a scenario provided by the user and generating a tailored legal recommendation. © 2020 by the paper's authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","Case-Based Reasoning; General Data Protection Regulation; Knowledge Engineering; Legal Tech","Data privacy; Case-based reasoning approaches; General data protection regulations; Household activities; On-line communication; Social media; Case based reasoning",,"Trabold D.Welke P.Piatkowski N.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85096352486
"Araszkiewicz M., Zurek T., Kuzniacki B.","36682023500;35093555000;57200033473;","Reasoning with and about factors in statutory interpretation",2020,"CEUR Workshop Proceedings","2632",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094963505&partnerID=40&md5=1e637fd7babd04ede075594ba5b4a15f","Department of Legal Theory, Faculty of Law and Administration, Jagiellonian University, Krakow, Poland; Institute of Computer Science, Maria Curie Sklodowska University, Ul. Akademicka 9, Lublin, 20-033, Poland; Amsterdam Centre for Tax Law, University of Amsterdam, Netherlands","Araszkiewicz, M., Department of Legal Theory, Faculty of Law and Administration, Jagiellonian University, Krakow, Poland; Zurek, T., Institute of Computer Science, Maria Curie Sklodowska University, Ul. Akademicka 9, Lublin, 20-033, Poland; Kuzniacki, B., Amsterdam Centre for Tax Law, University of Amsterdam, Netherlands","The main aim of this paper is to create a semi-formal model of reasoning with cases in statutory interpretation. We introduce the notion of reasoning protocol as a frame for a set of elements used by relevant agents to justify their claims. Our model allows us to represent reasoning not only with factors, but also about the relevance of factors in deciding legal cases on the basis of statutory rules. © 2020 CEUR-WS. All rights reserved.","Case-Based Reasoning; Factors; Reasoning Protocol; Relevance; Statutory Interpretation","Legal case; Semi-formal models; Text mining",,"Casini G.Casini G.Di Caro L.Governatori G.Leone V.Leone V.Markovich R.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85094963505
"Morris J.","57210701117;","User-friendly open-source case-based legal reasoning",2019,"Proceedings of the 17th International Conference on Artificial Intelligence and Law, ICAIL 2019",,,,"270","271",,,"10.1145/3322640.3326717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071273204&doi=10.1145%2f3322640.3326717&partnerID=40&md5=dae7c6769f75d3802dd72ecc32966c05","University of Alberta, Edmonton, AB, Canada","Morris, J., University of Alberta, Edmonton, AB, Canada","The access to justice crisis is one that cannot be effectively solved without the automation of legal services. The automation of legal services cannot be efficiently done without efficiently automating legal reasoning. Legal case-based reasoning (CBR) provides a method of obtaining explainable and strong predictions for legal issues that lawyers would typically predict on the basis of analogy to prior decided cases. Automating explainable predictions with regard to these sorts of legal issues is difficult without resort to CBR. Wider adoption of CBR in the legal realm therefore has the potential to increase the scope of legal services that can be automated. Despite this potential, as of early 2018 there were no open-source or commercially-available tools for building legal case-based reasoning systems. This paper describes an open-source tool named docassemble-openlcbr designed for ease of use by legal professionals in implementing CBR in the development of automated legal services. © 2019 Association for Computing Machinery.","Demonstration; Docassemble; Law; Legal case-based reasoning; Open-source; Openlcbr","Automation; Demonstrations; Forecasting; Laws and legislation; Open systems; Docassemble; Legal case; Legal reasoning; Legal services; Open source tools; Open sources; Openlcbr; User friendly; Case based reasoning","Morris, J.; University of AlbertaCanada; email: jmorris@ualberta.ca",,"Association for Computing Machinery, Inc",,9781450367547,,,"English","Proc. Int. Conf. Artif. Intell. Law, ICAIL",Conference Paper,"Final","",Scopus,2-s2.0-85071273204
"Bakaev M., Khvorostov V.","25031447300;57190120508;","Case-Based Genetic Optimization of Web User Interfaces",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11964 LNCS",,,"10","25",,,"10.1007/978-3-030-37487-7_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077498471&doi=10.1007%2f978-3-030-37487-7_2&partnerID=40&md5=cd19e2df419fe34dc15066830c5961cf","Novosibirsk State Technical University, Novosibirsk, Russian Federation","Bakaev, M., Novosibirsk State Technical University, Novosibirsk, Russian Federation; Khvorostov, V., Novosibirsk State Technical University, Novosibirsk, Russian Federation","The combination of case-based approach and genetic optimization can provide significant boost to effectiveness of computer-aided design of web user interfaces (WUIs). However, their integration in web design domain requires certain sophistication, since parts of available solutions cannot be reused directly, due to technical and legal obstacles. This article describes evolutionary algorithm for automatic generation of website designs, which treats parameters of functionality, layout and visual appearance as the variables. The structure of the chromosome is devised, allowing representation of websites’ properties in the above three manipulated aspects and facilitating easy application of the genetic operators. We also describe organization and population of repository of filler-up content, which is compulsory for evaluation of WUI fitness with regard to the needs and preferences of users. We demonstrate retrieval of web designs as cases and propose using similarity measure in the fitness function to adapt the generated WUI to these examples. Finally, implementation of the approach is illustrated based on the popular Drupal web framework. The results of the study can empower case-based reuse of existing web designs and therefore be of interest to both AI researchers and software engineers. © Springer Nature Switzerland AG 2019.","Case-based reasoning; Drupal framework; Software engineering; Web user interface design","Case based reasoning; Chromosomes; Computer aided design; Computer software reusability; Software engineering; Web Design; Websites; Automatic Generation; Case-based approach; Drupal framework; Fitness functions; Genetic optimization; Similarity measure; Visual appearance; Web user interface; User interfaces","Bakaev, M.; Novosibirsk State Technical UniversityRussian Federation; email: bakaev@corp.nstu.ru","Bjorner N.Virbitskaite I.Voronkov A.","Springer",03029743,9783030374860,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-85077498471
"Kiryu Y., Ito A., Kasahara T., Hatano H., Fujii M.","57200583268;36914421800;57200578440;35968865400;55738484600;","A Study of Precedent Retrieval System for Civil Trial",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10672 LNCS",,,"151","158",,,"10.1007/978-3-319-74727-9_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041703557&doi=10.1007%2f978-3-319-74727-9_18&partnerID=40&md5=cca1fbc17b6bb24626d09bf85cb568fa","Information System Science Department, Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Tochigi, Utsunomiya  321-8505, Japan; Toin University of Yokohama, 1614 Kurogane-cyo, Aoba-ku, Yokohama-shi, Kanagawa  225-8503, Japan","Kiryu, Y., Information System Science Department, Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Tochigi, Utsunomiya  321-8505, Japan; Ito, A., Information System Science Department, Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Tochigi, Utsunomiya  321-8505, Japan; Kasahara, T., Toin University of Yokohama, 1614 Kurogane-cyo, Aoba-ku, Yokohama-shi, Kanagawa  225-8503, Japan; Hatano, H., Information System Science Department, Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Tochigi, Utsunomiya  321-8505, Japan; Fujii, M., Information System Science Department, Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Tochigi, Utsunomiya  321-8505, Japan","Recently, ICT has been adopted for use by the judiciaries in many countries such as Singapore and India, in response to the global changes in the economy and politics. It is urgently necessary for Japanese judiciary to adopt ICT to catch up with the global trend. For example, since almost all judicial records are stored as printed material, it is difficult to access them. Recently, limited number of record are opened on web site. UI for retrieving is not well designed for ordinary people. For example, they cannot search precedents with thing in action and what to prove to win. In this paper, to solve this problem, we propose an intelligent precedent retrieval system that uses ontology. It allows users to find precedents with thing in action and similarity of documents. Also, it suggests appropriate laws and what to prove. In other words, our system can support user’s prosecution. © 2018, Springer International Publishing AG.","Civil trial; Cyber court; High tech court; Legal document; Ontology; Precedent retrieval system; Semantic web; XML","Ontology; Semantic Web; System theory; XML; Civil trial; Cyber court; High tech; Legal documents; Retrieval systems; Information retrieval","Kiryu, Y.; Information System Science Department, 7-1-2 Yoto, Japan; email: u8164@gmail.com","Pichler F.Moreno-Diaz R.Quesada-Arencibia A.","Springer Verlag",03029743,9783319747262,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-85041703557
"Ralescu S., Ralescu A.","57196043884;7003672235;","Is there a place for machine learning in law?",2017,"28th Modern Artificial Intelligence and Cognitive Science Conference, MAICS 2017",,,,"29","32",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031291152&partnerID=40&md5=fe8ef7d0d4d00d3d1d8e858b80164504","CETANA LLC, United States; EECS Department, Machine Learning 0030, University of Cincinnati, Cincinnati, OH  45221, United States","Ralescu, S., CETANA LLC, United States; Ralescu, A., EECS Department, Machine Learning 0030, University of Cincinnati, Cincinnati, OH  45221, United States","Research in artificial intelligence and law goes back approximately 40 years. It remains largely based on formal logic, including non-monotonic logic, case-based reasoning, and logic programming. However, some researchers in and practitioners of law have argued in favor of quantitative approaches (e.g. probability) to account for uncertainties in legal arguments. Other researchers have pointed some of the shortcomings of the current artificial intelligence and law research, e.g. inability to take context into account. At the same time, machine learning has made huge inroads in many different fields and applications, and therefore, the question is whether machine learning has anything to offer to the theory, and, equally important, the practice of law. As a position paper, this is a preliminary study towards the exploration of a synergistic integration of current artificial intelligence approaches in law, with machine learning approaches. It puts forward the idea that formal, logic-based approaches, currently very popular the Artificial Intelligence&Law research, could benefit from an extension with a machine learning component, and discusses some ways in which machine learning could be integrated into these approaches.",,"Artificial intelligence; Case based reasoning; Computer circuits; Formal logic; Logic programming; Artificial intelligence and laws; Legal arguments; Logic-based approach; Machine learning approaches; Nonmonotonic logic; Position papers; Quantitative approach; Synergistic integration; Learning systems",,,"MAICS",,,,,"English","Mod. Artif. Intell. Cogn. Sci. Conf., MAICS",Conference Paper,"Final","",Scopus,2-s2.0-85031291152
"Eyorokon V.B., Panjala U., Cox M.T.","57192670175;57193887558;57209861105;","Case-based goal trajectories for knowledge investigations",2017,"FLAIRS 2017 - Proceedings of the 30th International Florida Artificial Intelligence Research Society Conference",,,,"477","482",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029503346&partnerID=40&md5=f8b602c408f9220b6029ad368670fd9b","Wright State University, United States","Eyorokon, V.B., Wright State University, United States; Panjala, U., Wright State University, United States; Cox, M.T., Wright State University, United States","Humans seek to gain knowledge and structure data by many means including both bottom-up and top-down methods. But often, people have a specific purpose to their activity that drives the process, that is, they have particular questions that need answering in support of some broader investigation. These questions often change as answers point in various directions during an investigation, whether the investigation is formal (e.g., scientific, legal, journalistic, or military) or simply an informal browsing of the internet. Here we take a mixed-initiative approach to knowledge discovery, and we present a system called Kyudo that supports the process using a conversational case-based reasoning process. Cases in Kyudo are sequences of knowledge goals or questions that form arcs through a multidimensional knowledge space and that form the core activity in a dialogue between the user and system. As the system gains more experience and therefore more cases, it is able to detect similarity in knowledge goals and prompt the user with additional relevant goals that can short circuit the human reasoning process to minimize tangents or false starts. In this paper we present a distance-based mechanism that reduces the total length of a goal trajectory through guidance that accelerates the human reasoning process and AIDS effective knowledge discovery. Copyright © 2017, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,,,"Rus V.Markov Z.","AAAI Press",,9781577357872,,,"English","FLAIRS - Proc. Int. Florida Artif. Intell. Res. Soc. Conf.",Conference Paper,"Final","",Scopus,2-s2.0-85029503346
